cafeId,cafename,branchName,numberAddress,roadNameAddress,longitude,latitude
373,스타벅스,압구정2점,서울특별시 강남구 신사동 635-13,서울특별시 강남구 압구정로42길,127.0347168,37.52683303
374,스타벅스노원케이티점,노원케이티점,서울특별시 노원구 상계동 723,서울특별시 노원구 노해로,127.0638259,37.65436683
375,스타벅스가산디지털단지점,가산디지털단지점,서울특별시 금천구 가산동 371-28,서울특별시 금천구 가산디지털1로,126.882626,37.47995323
376,스타벅스,금천독산점,서울특별시 금천구 독산동 291-1,서울특별시 금천구 두산로,126.8956093,37.46895637
377,스타벅스,태평로점,서울특별시 중구 태평로2가 69-7,서울특별시 중구 세종대로,126.9767791,37.56248617
378,스타벅스,잠실점,서울특별시 송파구 신천동 11-4,서울특별시 송파구 올림픽로35가길,127.1034466,37.51743613
379,스타벅스,상봉점,서울특별시 중랑구 상봉동 79,서울특별시 중랑구 상봉로,127.0925055,37.59787046
380,스타벅스,오류동역점,서울특별시 구로구 오류동 55-50,서울특별시 구로구 경인로,126.8448498,37.49620515
381,스타벅스,숭례문점,서울특별시 중구 남대문로5가 6-1,서울특별시 중구 세종대로,126.9732441,37.55861704
382,스타벅스,영등포본동점,서울특별시 영등포구 영등포동3가 2-21,서울특별시 영등포구 영등포로,126.909583,37.51867077
383,스타벅스,송파사거리점,서울특별시 송파구 송파동 96-7,서울특별시 송파구 송파대로,127.1103348,37.50226933
384,스타벅스,강남에비뉴점,서울특별시 서초구 서초동 1303-16,서울특별시 서초구 서초대로77길,127.0238869,37.50272196
385,스타벅스,서교점,서울특별시 마포구 서교동 395-166,서울특별시 마포구 양화로,126.9169043,37.55137386
386,스타벅스한성대입구역점,한성대입구역점,서울특별시 성북구 성북동1가 35-1,서울특별시 성북구 성북로,127.0049043,37.58904601
387,스타벅스동묘앞역점동묘앞역점,동묘앞역점,서울특별시 종로구 숭인동 310,서울특별시 종로구 종로,127.0160686,37.57271361
388,스타벅스,올림픽대교북단점,서울특별시 광진구 구의동 200-2,서울특별시 광진구 광나루로,127.0952529,37.5411525
389,스타벅스,써머셋팰리스,서울특별시 종로구 수송동 85,서울특별시 종로구 율곡로2길,126.9812267,37.57500405
390,스타벅스포스코사거리점,포스코사거리점,서울특별시 강남구 삼성동 157-36,서울특별시 강남구 테헤란로,127.0574281,37.50756271
391,스타벅스,대치대원빌딩R점,서울특별시 강남구 대치동 599,서울특별시 강남구 남부순환로,127.0626465,37.49456594
392,스타벅스,강남II점,서울특별시 서초구 서초동 1307-19,서울특별시 서초구 서초대로77길,127.0254816,37.50011306
393,스타벅스,석촌역점,서울특별시 송파구 석촌동 286-9,서울특별시 송파구 백제고분로,127.1060134,37.50424607
394,스타벅스연신내역점,연신내역점,서울특별시 은평구 대조동 198-10,서울특별시 은평구 연서로,126.9201098,37.61780045
395,스타벅스,연대점,서울특별시 서대문구 창천동 33-9,서울특별시 서대문구 연세로,126.9366956,37.55871702
396,스타벅스,선유도역점,서울특별시 영등포구 양평동4가 98-5,서울특별시 영등포구 양평로,126.8945908,37.53730008
397,스타벅스종암점,종암점,서울특별시 성북구 종암동 3-686,서울특별시 성북구 종암로,127.0339835,37.60118133
398,스타벅스,여의도알리안츠점,서울특별시 영등포구 여의도동 45-21,서울특별시 영등포구 의사당대로,126.9278277,37.51881077
399,스타벅스,평창점,서울특별시 종로구 평창동 310-1,서울특별시 종로구 평창문화로,126.9667633,37.60579292
400,스타벅스,한국프레스센터점,서울특별시 중구 태평로1가 25,서울특별시 중구 세종대로,126.9778549,37.56741517
401,스타벅스,독산사거리점,서울특별시 금천구 독산동 159-23,서울특별시 금천구 시흥대로,126.8986457,37.47157973
402,스타벅스,대우재단빌딩점,서울특별시 중구 남대문로5가 526,서울특별시 중구 퇴계로,126.9751399,37.5565521
403,스타벅스,이촌역점,서울특별시 용산구 용산동5가 24-1,서울특별시 용산구 서빙고로,126.9723312,37.52370262
404,스타벅스,국민은행명동점,서울특별시 중구 을지로2가 199-2,서울특별시 중구 남대문로,126.9828281,37.56463787
405,스타벅스문정역점,문정역점,서울특별시 송파구 문정동 651,서울특별시 송파구 송파대로,127.1207441,37.4845513
406,스타벅스황학사거리점,황학사거리점,서울특별시 성동구 하왕십리동 700,서울특별시 성동구 왕십리로,127.0240621,37.56654474
407,스타벅스신설동역점,신설동역점,서울특별시 동대문구 신설동 76-10,서울특별시 동대문구 왕산로,127.0255032,37.5767024
408,스타벅스,가산브이타워,서울특별시 금천구 가산동 371-37,서울특별시 금천구 가산디지털1로,126.8836842,37.47722405
409,스타벅스,미아점,서울특별시 성북구 하월곡동 89-7,서울특별시 성북구 동소문로,127.029302,37.60761238
410,스타벅스,화곡동점,서울특별시 강서구 화곡동 1073-10,서울특별시 강서구 화곡로,126.837569,37.54055489
411,스타벅스,금천시흥점,서울특별시 금천구 시흥동 904-22,서울특별시 금천구 시흥대로,126.9032169,37.4488707
412,스타벅스,마곡GMG점,서울특별시 강서구 마곡동 773-2,서울특별시 강서구 마곡중앙6로,126.828987,37.56039191
413,스타벅스,강남대로신사점,서울특별시 서초구 잠원동 21-7,서울특별시 서초구 강남대로,127.019521,37.51485002
414,스타벅스둔촌동점,둔촌동점,서울특별시 강동구 성내동 441-2,서울특별시 강동구 양재대로,127.1339281,37.52276357
415,스타벅스,문정로데오점,서울특별시 송파구 가락동 125-6,서울특별시 송파구 동남로,127.126233,37.49189964
416,스타벅스,신월ICDT점,서울특별시 양천구 신월동 205-48,서울특별시 양천구 남부순환로,126.8321965,37.52951826
417,스타벅스,양평동점,서울특별시 영등포구 양평동4가 2,서울특별시 영등포구 선유동2로,126.8968599,37.53381625
418,스타벅스경희대삼거리점,경희대삼거리점,서울특별시 동대문구 회기동 60-40,서울특별시 동대문구 회기로,127.0520102,37.59156021
419,스타벅스,고대안암병원점,서울특별시 성북구 안암동5가 126-1,서울특별시 성북구 인촌로,127.0263415,37.58709834
420,스타벅스,상수역점,서울특별시 마포구 상수동 329-1,서울특별시 마포구 독막로,126.9232071,37.54750297
421,스타벅스,잠실대교남단점,서울특별시 송파구 신천동 7-30,서울특별시 송파구 송파대로,127.098885,37.51577952
422,스타벅스대치은마사거리점,대치은마사거리점,서울특별시 강남구 대치동 941-19,서울특별시 강남구 도곡로,127.0601595,37.49899741
423,스타벅스,을지로국제빌딩점,서울특별시 중구 다동 111,서울특별시 중구 남대문로,126.9822303,37.56697542
424,스타벅스서소문배재점,서소문배재점,서울특별시 중구 서소문동 57-9,서울특별시 중구 서소문로,126.9721669,37.5628786
425,스타벅스송파방이DT점,송파방이DT점,서울특별시 송파구 방이동 226-10,서울특별시 송파구 오금로,127.1205089,37.50654446
426,스타벅스숙대점,숙대점,서울특별시 용산구 청파동3가 111-35,서울특별시 용산구 청파로47가길,126.9673037,37.544545
427,스타벅스,,서울특별시 광진구 군자동 98,서울특별시 광진구 능동로,127.0731707,37.55160464
428,스타벅스,보라매점,서울특별시 관악구 봉천동 729-24,서울특별시 관악구 보라매로5가길,126.9253642,37.49180204
429,스타벅스방화DT,,서울특별시 강서구 방화동 293-4,서울특별시 강서구 방화대로,126.816371,37.57443928
430,스타벅스,여의도화재보험,서울특별시 영등포구 여의도동 35-4,서울특별시 영등포구 국제금융로6길,126.9259809,37.52137999
431,스타벅스,신세계강남점,서울특별시 서초구 반포동 19-3,서울특별시 서초구 신반포로,127.0023932,37.50393001
432,스타벅스강동역점,강동역점,서울특별시 강동구 천호동 447-17,서울특별시 강동구 천호대로,127.1330784,37.53656154
433,스타벅스,연세세브란스점,서울특별시 중구 남대문로5가 84-11,서울특별시 중구 통일로,126.9736159,37.5570885
434,스타벅스종로3가점,종로3가점,서울특별시 종로구 종로3가 9-3,서울특별시 종로구 종로,126.9902072,37.57058502
435,스타벅스,대치삼성프라자점,서울특별시 강남구 대치동 993-1,서울특별시 강남구 영동대로,127.0670514,37.50045769
436,스타벅스청계산입구역점,청계산입구역점,서울특별시 서초구 신원동 205-1,서울특별시 서초구 청계산로,127.0562524,37.4472724
437,스타벅스강남오거리점,강남오거리점,서울특별시 강남구 역삼동 813-17,서울특별시 강남구 봉은사로2길,127.0266434,37.50209594
438,스타벅스,합정점,서울특별시 마포구 합정동 472,서울특별시 마포구 월드컵로1길,126.9120459,37.5500407
439,스타벅스,남산스테이트점,서울특별시 중구 회현동2가 88,서울특별시 중구 퇴계로,126.9829111,37.56019644
440,스타벅스새문안로점,새문안로점,서울특별시 종로구 신문로1가 163,서울특별시 종로구 새문안로,126.9748689,37.56972298
441,스타벅스가산디지털단지역점,가산디지털단지역점,서울특별시 금천구 가산동 50-3,서울특별시 금천구 벚꽃로,126.883859,37.48143359
442,스타벅스명동입구점,명동입구점,서울특별시 중구 명동2가 85-5,서울특별시 중구 남대문로,126.9822587,37.56322733
443,스타벅스마포이마트점,마포이마트점,서울특별시 마포구 신공덕동 173,서울특별시 마포구 백범로,126.9533465,37.54242179
444,스타벅스,가든파이브점,서울특별시 송파구 문정동 628,서울특별시 송파구 충민로,127.1193706,37.47826065
445,스타벅스,염창역점,서울특별시 강서구 염창동 282-23,서울특별시 강서구 공항대로,126.8745264,37.54727425
446,스타벅스압구정점,압구정점,서울특별시 강남구 신사동 609,서울특별시 강남구 압구정로30길,127.0295417,37.52632207
447,스타벅스,천호이마트점,서울특별시 강동구 천호동 454-1,서울특별시 강동구 천호대로,127.1251325,37.53871953
448,스타벅스숭실대입구역점,숭실대입구역점,서울특별시 동작구 상도동 475-5,서울특별시 동작구 상도로,126.9527047,37.4968682
449,스타벅스회현역점,회현역점,서울특별시 중구 회현동1가 206,서울특별시 중구 퇴계로,126.9805829,37.55911313
450,스타벅스,논현힐탑점,서울특별시 강남구 논현동 216-5,서울특별시 강남구 논현로,127.032255,37.5115851
451,스타벅스약수역점,약수역점,서울특별시 중구 신당동 374-27,서울특별시 중구 다산로,127.0107162,37.55542289
452,스타벅스,영등포신길DT점,서울특별시 영등포구 신길동 252-9,서울특별시 영등포구 신길로,126.9100596,37.50456481
453,스타벅스충정타워점,충정타워점,서울특별시 서대문구 충정로3가 464,서울특별시 서대문구 서소문로,126.9640699,37.55988846
454,스타벅스,신당역사거리점,서울특별시 중구 흥인동 86,서울특별시 중구 다산로,127.0164407,37.56594086
455,스타벅스,신촌오거리점,서울특별시 마포구 노고산동 54-1,서울특별시 마포구 신촌로16길,126.9346636,37.55516663
456,스타벅스중구저동점,중구저동점,서울특별시 중구 저동2가 24-1,서울특별시 중구 수표로,126.9903364,37.56436893
457,스타벅스,명동중앙로점,서울특별시 중구 명동2가 2-16,서울특별시 중구 명동길,126.9857377,37.56376186
458,스타벅스대치사거리점,대치사거리점,서울특별시 강남구 대치동 960-5,서울특별시 강남구 삼성로,127.0588155,37.50335683
459,스타벅스커피여의도IFC1F,,서울특별시 영등포구 여의도동 23,서울특별시 영등포구 국제금융로,126.9248631,37.52517222
460,스타벅스,여의도일신점,서울특별시 영등포구 여의도동 15-15,서울특별시 영등포구 은행로,126.9202192,37.52790507
461,스타벅스,반포역점,서울특별시 서초구 잠원동 58-24,서울특별시 서초구 신반포로,127.0119225,37.50861449
462,스타벅스,명동남산,서울특별시 중구 남산동3가 13-31,서울특별시 중구 퇴계로,126.9864465,37.56074044
463,스타벅스,서울대치과병원점,서울특별시 종로구 연건동 28-21,서울특별시 종로구 대학로,126.9971841,37.58044782
464,스타벅스,보라매타운점,서울특별시 동작구 신대방동 395-66,서울특별시 동작구 보라매로5길,126.9233568,37.49142334
465,스타벅스,구의역점,서울특별시 광진구 구의동 246-15,서울특별시 광진구 아차산로,127.0840104,37.53700208
466,스타벅스가든파이브,,서울특별시 송파구 문정동 628,서울특별시 송파구 충민로,127.1193706,37.47826065
467,스타벅스강남점,강남점,서울특별시 강남구 역삼동 825,서울특별시 강남구 강남대로,127.0285648,37.49783175
468,스타벅스,,서울특별시 강남구 역삼동 831-25,서울특별시 강남구 강남대로78길,127.0305366,37.49489249
469,스타벅스,큰길타워점,서울특별시 강남구 역삼동 677-25,서울특별시 강남구 테헤란로,127.0406526,37.50239076
470,스타벅스동교삼거리점,동교삼거리점,서울특별시 서대문구 창천동 510-2,서울특별시 서대문구 신촌로,126.9273453,37.55881265
471,스타벅스커피가산브이타워,,서울특별시 금천구 가산동 371-37,서울특별시 금천구 가산디지털1로,126.8836842,37.47722405
472,스타벅스연대동문,연대동문점,서울특별시 서대문구 대신동 115,서울특별시 서대문구 성산로,126.9463211,37.56640809
473,스타벅스,서초동점,서울특별시 서초구 서초동 1439-14,서울특별시 서초구 남부순환로339길,127.0215728,37.48591615
474,스타벅스,이대이씨씨점,서울특별시 서대문구 대현동 11-1,서울특별시 서대문구 이화여대길,126.9503015,37.56428106
475,스타벅스차병원사거리점,차병원사거리점,서울특별시 강남구 논현동 235-11,서울특별시 강남구 봉은사로,127.0353547,37.50804228
476,스타벅스,송파개롱역점,서울특별시 송파구 오금동 20-17,서울특별시 송파구 마천로7길,127.1281717,37.50898908
477,스타벅스낙성대DT점,낙성대DT점,서울특별시 관악구 봉천동 1657-3,서울특별시 관악구 남부순환로,126.9650001,37.4761983
478,스타벅스,청담공원점,서울특별시 강남구 삼성동 53,서울특별시 강남구 학동로,127.0514396,37.51868785
479,스타벅스압구정로데오역,,서울특별시 강남구 청담동 84-3,서울특별시 강남구 선릉로,127.0405131,37.52653786
480,스타벅스성신여대정문,,서울특별시 성북구 동선동2가 134,서울특별시 성북구 보문로34길,127.0188421,37.59082962
481,스타벅스,종암점,서울특별시 성북구 종암동 3-1297,서울특별시 성북구 종암로28길,127.0342762,37.60130987
482,스타벅스구파발역점,구파발역점,서울특별시 은평구 진관동 100-6,서울특별시 은평구 진관2로,126.9185232,37.63427473
483,스타벅스,송파개롱역점,서울특별시 송파구 가락동 174-14,서울특별시 송파구 오금로,127.1362616,37.4969833
484,스타벅스,미아뉴타운점,서울특별시 강북구 미아동 812-2,서울특별시 강북구 삼양로,127.0211081,37.61838418
485,스타벅스한남동점,한남동점,서울특별시 용산구 한남동 36-7,서울특별시 용산구 독서당로,127.0109208,37.53479964
486,스타벅스커피마포염리,,서울특별시 마포구 염리동 168-9,서울특별시 마포구 독막로,126.9474628,37.54399137
487,스타벅스,국회의사당역점,서울특별시 영등포구 여의도동 17-3,서울특별시 영등포구 의사당대로,126.9168822,37.5278655
488,스타벅스화곡DT점,화곡DT점,서울특별시 강서구 화곡동 772-67,서울특별시 강서구 등촌로,126.8631123,37.53506398
489,스타벅스,용산역써밋R점,서울특별시 용산구 한강로2가 391,서울특별시 용산구 한강대로,126.9652201,37.52745195
